filename,subject,gate
PB929_normalized_B cells.fcs,929,Ungated
PB929_normalized_Naive.fcs,929,Naïve
PB929_normalized_Non-switched.fcs,929,Non-switched
PB929_normalized_Plasmablast.fcs,929,Plasmablast
PB929_normalized_Switched.fcs,929,Switched
PB929_normalized_Transitional.fcs,929,Transitional
PB930_normalized_B cells.fcs,930,Ungated
PB930_normalized_Naive.fcs,930,Naïve
PB930_normalized_Non-switched.fcs,930,Non-switched
PB930_normalized_Plasmablast.fcs,930,Plasmablast
PB930_normalized_Switched.fcs,930,Switched
PB930_normalized_Transitional.fcs,930,Transitional
PB931_normalized_B cells.fcs,931,Ungated
PB931_normalized_Naive.fcs,931,Naïve
PB931_normalized_Non-switched.fcs,931,Non-switched
PB931_normalized_Plasmablast.fcs,931,Plasmablast
PB931_normalized_Switched.fcs,931,Switched
PB931_normalized_Transitional.fcs,931,Transitional